unadi_id	sutra_deva	sutra_slp1	pratyay_deva	pratyay_slp1	sk_commentary	sutra_ref
1093	अन्दूदृम्भूजम्बूकफेलूकर्कन्धूदिधिषूः	andUdfmBUjambUkaPelUkarkanDUdiDizUH	कू	kU	एते कूप्रत्ययान्ता निपात्यन्ते । अन्दूर्बन्धनम् । दृभी ग्रन्थे । निपातनान्नुम् । दृम्भूः । अनुस्वाराभावोऽपि निपातनादित्येके । दृन्भूः । जनेर्बुक्  जम्बूः । जमु अदने अस्येत्येके बाहुलकाद्ध्रस्वोऽपि । जम्बुः । कफं लाति कफेलूः श्लेष्मातकः । निपातनादेत्वम् । कर्कं दधाति कर्कन्धूर्बदरी । निपातनान्नुम् । दिधिं धैर्यं स्यति त्यजतीति दिधिषूः पुनर्भूः । केचित्तु अन्दूदृम्फूजम्बूकम्बू इति पठन्ति । दृम्फ उत्क्लेशे । दृम्फूः सर्पजातिः । कमेर्बुक्  कम्बूः परद्रव्यापहारी ।	
1094	मृग्रोरुतिः	mfgrorutiH	उति	uti	मरुत् । गरुत्पक्षः ।	
1095	ग्रो मुट् च	gro muw ca	उति	uti	गिरतेरुतिस्तस्य च मुट् । गर्मुत्सुवर्णं तृणविशेषश्च ।	
1096	हृषेरुलच्	hfzerulac	उलच्	ulac	हर्षुलो मृगकामिनोः । बाहुलकाच्चटतेः । चटुलं शोभनम् ।	
1097	हृसृरुहियुषिभ्य इतिः	hfsfruhiyuziBya itiH	इति	iti	हरित्ककुभि वर्णे च तृणवाचिविशेषयोः । सरिन्नदी । रोहित् मृगविशेषस्य स्त्री । युष इति सौत्रो धातुः । ऋश्यस्य रोहित् । पुरुषस्य योषित् इति भाष्यम् ।	
1098	ताडेर्णिलुक् च	tAqerRiluk ca	इति	iti	ताडयतीति तडित् ।	
1099	शमेर्ढः	SamerQaH	ढ	Qa	बाहुलकादिसंज्ञा एयादेश इट् च न । शण्ढः स्यात्पुंसि गोपतौ । शण्ढः क्लीबः ।	
1100	कमेरठः	kameraWaH	अठ	aWa	कमठः । कमठः कच्छपे पुंसि भाण्डभेदे नपुंसकमिति मेदिनी । बाहुलकाज्जरठः ।	
1101	रमेर्वृद्धिश्च	ramervfdDiSca	अठ	aWa	रामठं हिङ्गु ।	
1102	शमेः खः	SameH KaH	ख	Ka	शङ्खः ।	
1103	कणेष्ठः	kaRezWaH	ठ	Wa	कण्ठः ।	
1104	कलस्तृपश्च	kalastfpaSca	कल	kala	तृपतेः कलप्रत्ययः चात्तृफतेः । तृपला लता । त्रिफला तु फलत्रिके ।	
1105	शपेर्बश्च	SaperbaSca	कल	kala	शबलः ।	
1106	वृषादिभ्यश्चित्	vfzAdiByaScit	कल	kala	वृषलः । पललम् । बाहुलकाद्गुणः । सरलः । तरलः । << कमेर्बुक् च >> (गणसूत्रम् 196) ।  कम्बलः । मुस खण्डने । मुसलम् । << लङ्गेर्वृद्धिश्च >> (गणसूत्रम् 197) ।   लाङ्गलम् । << कुटिकशिकौतिभ्यः प्रत्ययस्य मुट् >> (गणसूत्रम् 198) ।  कुट्मलः । कुडेरपि । कुड्मलः । कश्मलम् । बाहुलकाद्गुणः । कोमलम् ।	
1107	मृजेष्टिलोपश्च	mfjezwilopaSca	कल	kala	मलम् ।	
1108	चुपेरच्चोपधायाः	cuperaccopaDAyAH	कल	kala	चपलम् ।	
1109	शकिशम्योर्नित्	SakiSamyornit	कल	kala	शकलम् । शमलम् ।	
1110	छो गुक् ह्रस्वश्च	Co guk hrasvaSca	कल	kala	छगलः । प्रज्ञादित्वाच्छागलः ।	
1111	ञमन्ताड्डः	YamantAqqaH	ड	qa	दण्डः । रण्डा । खण्डः । भण्डः । वण्डश्छिन्नहस्तः । अण्डः । बाहुलकात्सभावः । षण्डः सङ्घातः । तालव्यादिरित्यपरे । शण्डः। गण्डः । चण्डः । पण्डः क्लीबः । पण्डा बुद्धिः ।	
1112	क्वादिभ्यः कित्	kvAdiByaH kit	ड	qa	कवर्गादिभ्यो डः कित्स्यात् । कुण्डम् । काण्डम् । गुङ् । गुडः । घुण भ्रमणे । घुण्डो भ्रमरः ।	
1113	स्थाचतिमृजेरालज्वालजालीयचः	sTAcatimfjerAlajvAlajAlIyacaH	आलच्, वालच्, आलीयच्	Alac, vAlac, AlIyac	तिष्ठतेरालच् । स्थालम् स्थाली । चतेर्वालच् । चत्वालः । मृजेरालीयच् । मार्जालीयो बिडालः ।	
1114	पतिचण्डिभ्यामालञ्	paticaRqiByAmAlaY	आलञ्	AlaY	पातालम् । चण्डालः । प्रज्ञादित्वादणि चाण्डालोऽपीत्येके ।	
1115	तमिविशिबिडिमृणिकुलिकपिपलिपञ्चिभ्यः कालन्	tamiviSibiqimfRikulikapipalipaYciByaH kAlan	कालन्	kAlan	तमालः । विशालः । बिडालः । मृणालम् । कुलालः । कपालम् । पलालम् । पञ्चालाः ।	
1116	पतेरङ्गच् पक्षिणि	pateraNgac pakziRi	अङ्गच्	aNgac	पतङ्गः ।	
1117	तरत्यादिभ्यश्च	taratyAdiByaSca	अङ्गच्	aNgac	तरङ्गः । लवङ्गम् ।	
1118	विडादिभ्यः कित्	viqAdiByaH kit	अङ्गच्	aNgac	विडङ्गः । मृदङ्गः । कुरङ्गः । बाहुलकादुत्वं च ।	
1119	सृवृञोर्वृद्धिश्च	sfvfYorvfdDiSca	अङ्गच्	aNgac	सारङ्गः । वारङ्गः खड्गादिमुष्टिः ।	
1120	गन् गम्यद्योः	gan gamyadyoH	गन्	gan	गङ्गा । अद्गः पुरोडाशः ।	
1121	छापूखडिभ्यः कित्	CApUKaqiByaH kit	गन्	gan	छागः । पूगः । खड्गः । बाहुलकात् षिट अनादरे गन्सत्वाभावश्च । षिड्गः तरलः । षिड्गैरगद्यत ससंभ्रममेवमेकेति माघः ।	
1122	भृञः किन्नुट् च	BfYaH kinnuw ca	गन्	gan	भृञः गन् कित्स्यात्तस्य नुत् च । भृङ्गाः षिड्गालिधूम्याटाः ।	
1123	शृणातेर्ह्रस्वश्च	SfRAterhrasvaSca	गन्	gan	शृङ्गम् ।	
1124	गण् शकुनौ	gaR SakunO	गण्	gaR	नुट् चेत्यनुवर्तते । शार्ङ्गः ।	
1125	मुदिग्रोर्गग्गौ	mudigrorgaggO	गक्, ग	gak, ga	मुद्गः । गर्गः ।	
1126	अण्डन्कृसृभृवृञः	aRqankfsfBfvfYaH	अण्डन्	aRqan	करण्डः । सरण्डः पक्षी । भरण्डः स्वामी । वरण्डो मुखरोगः ।	
1127	शॄदॄभसोऽदिः	SFdFBasodiH	अदि	adi	शरत् । दरद्धृदयकूलयोः । भसज्जघनम् ।	
1128	दृणातेर्दृग् ह्रस्वश्च	dfRAterdfg hrasvaSca	अदि	adi	दृषत् ।	
1129	त्यजितनियजिभ्यो डित्	tyajitaniyajiByo qit	अदि	adi	त्यद् । तद् । यद् । सर्वादयः ।	
1130	एतेस्तुट् च	etestuw ca	अदि	adi	एतद् ।	
1131	सर्तेरटिः	sarterawiH	अटि	awi	सरट् स्याद्वातमेघयोः । वेदभाष्ये तु याभिः कृशानुमिति मन्त्रे सरट्भ्यो मधुमक्षिकाभ्य इति व्याख्यातम् ।	
